id_discente;curso;turno;ano_ingresso;idade_ingresso;escola_publica;forma_ingresso;acao_afirmativa;sexo;cor_raca;estado_civil;media_global_aluno;media_global_curso;percentual_integralizado;trancamentos;mobilidade;total_componentes;total_reprovacao;total_aprovacao;percentagem_frequencia;percentagem_reprovacao;reprovacoes_rm;reprovacoes_rf;reprovacoes_rmf;percentagem_aprovacao;qtd_semestres;motivo_inativacao;status;faixa_etaria;acao_afirmativa_
758481;Sistemas De Informação;Noturno;2009;24;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);6.72;5.32;75.9;1;0.0;42;5;37;87.44;11.9;3;0;2;88.1;10;Excluído;Excluído;Entre 21 e 24;0
758488;Sistemas De Informação;Noturno;2009;27;Não;Processo Seletivo;RI;Masculino;Pardo;Solteiro(A);0.0;5.32;0.0;1;0.0;14;7;7;68.75;50.0;1;0;6;50.0;4;Excluído;Excluído;Entre 25 e 27;1
758567;Sistemas De Informação;Noturno;2009;19;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);0.0;5.32;0.0;1;0.0;14;6;8;65.85;42.86;2;0;4;57.14;3;Excluído;Excluído;Entre 19 e 21;0
758571;Sistemas De Informação;Noturno;2009;20;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);6.09;5.32;100.0;1;0.0;56;10;46;84.0;17.86;4;0;6;82.14;14;Conclusão;Graduado;Entre 19 e 21;0
758572;Sistemas De Informação;Noturno;2009;19;Não;Processo Seletivo;Ampla Concorrência;Feminino;Não Informado;Solteiro(A);0.0;5.32;100.0;0;0.0;44;1;43;92.81;2.27;0;0;1;97.73;9;Conclusão;Graduado;Entre 19 e 21;0
758583;Engenharia De Software;Noturno;2009;26;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);0.0;5.48;0.0;0;0.0;5;5;0;6.25;100.0;0;0;5;0.0;1;Excluído;Excluído;Entre 25 e 27;0
758584;Engenharia De Software;Noturno;2009;19;Sim;Processo Seletivo;RI;Masculino;Pardo;Solteiro(A);0.0;5.48;0.0;0;0.0;16;14;2;67.78;87.5;9;0;5;12.5;3;Excluído;Excluído;Entre 19 e 21;1
758585;Engenharia De Software;Noturno;2009;19;Não;Processo Seletivo;Ampla Concorrência;Masculino;Pardo;Solteiro(A);5.02;5.48;89.53;1;0.0;64;23;41;83.77;35.94;15;0;8;64.06;13;Excluído;Excluído;Entre 19 e 21;0
758587;Engenharia De Software;Noturno;2009;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);0.0;5.48;100.0;0;0.0;52;7;45;92.34;13.46;7;0;0;86.54;11;Conclusão;Graduado;Até 18;0
758588;Engenharia De Software;Noturno;2009;20;Sim;Processo Seletivo;RI;Masculino;Pardo;Solteiro(A);0.0;5.48;100.0;0;0.0;43;0;43;93.65;0.0;0;0;0;100.0;8;Conclusão;Graduado;Entre 19 e 21;1
758674;Ciência Da Computação;Integral;2009;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);0.0;5.03;0.0;1;0.0;10;3;7;94.06;30.0;2;0;1;70.0;2;Excluído;Excluído;Até 18;0
758752;Ciência Da Computação;Integral;2009;17;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);0.0;5.03;100.0;0;0.0;48;1;47;93.52;2.08;1;0;0;97.92;8;Conclusão;Graduado;Até 18;0
758914;Ciência Da Computação;Integral;2009;21;Não;Transferência;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);0.0;5.03;100.0;0;0.0;35;0;35;92.09;0.0;0;0;0;100.0;7;Conclusão;Graduado;Entre 19 e 21;0
758936;Ciência Da Computação;Integral;2009;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Pardo;Solteiro(A);4.92;5.03;81.91;0;0.0;74;35;39;87.06;47.3;30;0;5;52.7;14;Excluído;Excluído;Até 18;0
758969;Ciência Da Computação;Integral;2009;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Branco;Solteiro(A);4.83;5.03;100.0;0;0.0;77;31;46;75.2;40.26;15;0;16;59.74;15;Conclusão;Graduado;Até 18;0
758970;Ciência Da Computação;Integral;2009;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Casado(A);0.0;5.03;0.0;0;0.0;20;9;11;83.44;45.0;7;0;2;55.0;4;Mudança de curso;Excluído;Até 18;0
758984;Engenharia De Software;Noturno;2009;22;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Pardo;Solteiro(A);5.14;5.48;87.18;1;0.0;59;19;40;81.79;32.2;12;1;6;67.8;18;Excluído;Excluído;Entre 21 e 24;0
